TIME,TIME(s),PID,COMM,IP,LADDR,LPORT,RADDR,RPORT,TX_KB,RX_KB,MS
01:16:31,0.000000,2701,Socket Thread,4,192.168.0.190,45292,142.250.201.138,443,2,1,308.29
01:16:33,2.096096,2701,Socket Thread,4,192.168.0.190,56582,192.178.24.161,443,1,11,1586.03
01:16:33,2.096119,2701,Socket Thread,4,192.168.0.190,45298,142.250.201.138,443,2,1,396.53
01:16:34,3.351789,2701,Socket Thread,4,192.168.0.190,59576,150.107.73.247,443,0,5,1106.59
01:16:35,4.879947,2701,Socket Thread,4,192.168.0.190,52230,50.63.8.6,443,0,3,1028.68
01:16:39,8.562255,2701,Socket Thread,4,192.168.0.190,59568,150.107.73.247,443,1,11,6522.15
01:16:46,15.218372,2701,Socket Thread,4,192.168.0.190,35994,50.63.8.6,80,0,0,5655.14
01:16:46,15.218386,2701,Socket Thread,4,192.168.0.190,35986,50.63.8.6,80,0,0,5652.89
01:16:46,15.852978,2701,Socket Thread,4,192.168.0.190,36006,50.63.8.6,80,0,0,5856.44
01:16:46,15.856265,2701,Socket Thread,4,192.168.0.190,36022,50.63.8.6,80,0,0,5859.69
